month,data_level,level_name,Count,Amount,source_page,source_table,source_file,sheet_name
May,category,Fried Chicken,787,7935.26,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Combo Items,0,0.0,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Drink,3169,2922.54,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Additonal,175,358.48,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Rice Noodle,524,7698.91,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Wonton,50,546.94,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Milk Tea,244,1108.72,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Combo Items Donot Delete,0,0.0,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Appetizer,1146,6217.05,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Ramen,816,12118.38,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Tossed Rice Noodle,398,6000.15,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Lunch Special,269,3783.26,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Tossed Ramen,941,13539.42,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Fried Rice,214,2850.3,1,1,May_Data_Matrix (1).xlsx,data 2
May,category,Open Food,2,4.52,1,1,May_Data_Matrix (1).xlsx,data 2
June,category,Tossed Ramen,510,7287.69,1,1,June_Data_Matrix.xlsx,data 2
June,category,Tossed Rice Noodle,243,3652.73,1,1,June_Data_Matrix.xlsx,data 2
June,category,Ramen,479,7108.15,1,1,June_Data_Matrix.xlsx,data 2
June,category,Appetizer,836,4487.7,1,1,June_Data_Matrix.xlsx,data 2
June,category,Additonal,127,255.81,1,1,June_Data_Matrix.xlsx,data 2
June,category,Fried Rice,146,1967.46,1,1,June_Data_Matrix.xlsx,data 2
June,category,Fried Chicken,551,5725.04,1,1,June_Data_Matrix.xlsx,data 2
June,category,Lunch Special,222,3089.08,1,1,June_Data_Matrix.xlsx,data 2
June,category,Prep item,0,0.0,1,1,June_Data_Matrix.xlsx,data 2
June,category,Wonton,103,1187.4,1,1,June_Data_Matrix.xlsx,data 2
June,category,Milk Tea,189,836.14,1,1,June_Data_Matrix.xlsx,data 2
June,category,Special Offer,37,472.38,1,1,June_Data_Matrix.xlsx,data 2
June,category,Combo Items,0,0.0,1,1,June_Data_Matrix.xlsx,data 2
June,category,Drink,1896,2086.79,1,1,June_Data_Matrix.xlsx,data 2
June,category,Open Food,1,5.0,1,1,June_Data_Matrix.xlsx,data 2
June,category,Rice Noodle,298,4365.96,1,1,June_Data_Matrix.xlsx,data 2
July,category,Lunch Special,213,2994.75,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Milk Tea,256,1120.75,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Prep item,42,0.0,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Fried Rice,130,1748.27,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Appetizer,901,5012.23,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Fried Chicken,452,4676.16,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Additonal,91,204.2,1,1,July_Data_Matrix (1).xlsx,data 2
July,category,Ramen,618,9153.54,1,1,July_Data_Matrix (1).xlsx,data 2
