month,data_level,level_name,Count,Amount,source_page,source_table,source_file,sheet_name
May,item,Beef Tossed Ramen,468,6921.26,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Beef Ramen,339,5045.65,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Lunch Special,269,3783.26,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pork Tossed Ramen,260,3526.47,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chicken Rice Noodle Soup,233,3303.84,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chicken Ramen,222,3313.0,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai Special Fried Chicken(8),309,3089.87,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Beef Tossed Rice Noodle,195,3102.44,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chicken Tossed Ramen,200,2906.3,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Beef Rice Noodle Soup,147,2316.04,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pork Ramen,131,1845.21,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chicken Tossed Rice Noodles,118,1726.89,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,House Ramen,91,1474.52,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai's Golden Flake Fried Chicken(8),138,1378.05,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Fried Pork Dumplings(10),119,1063.71,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pork Tossed Rice Noodle,72,992.7,1,1,May_Data_Matrix (1).xlsx,data 3
May,item,Golden Coconut Crunch Chicken(8),96,982.35,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pork Rice Noodle Soup,72,986.46,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chicken Fried Rice,80,1000.1,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai OG Fried Chicken Wings(4),193,960.71,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Brown Sugar Milk Tea w. Boba (24oz),196,888.71,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Steam Pork Dumplings(10),94,819.22,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Crispy Spring Roll(3),185,726.44,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,House Rice Noodle Soup,42,684.02,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,House Fried Rice,46,692.23,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Tempura Shrimp(3),138,674.01,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Crispy Pork Egg Roll(3),162,651.24,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Onion Glory Fried Chicken(8),59,589.13,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Strawberry Sunrise Tea,152,555.16,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Sichuan Chili Wontons,50,546.94,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Vegetable Ramen,33,440.0,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Vegetable Rice Noodle Soup,30,408.55,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Citrus Honey Fried Chicken  (8),43,434.87,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Beef Fried Rice,28,377.5,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Shrimp Fried Rice,29,389.91,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai Buffalo Chicken Wings(8),35,346.69,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Golden kiwi,87,316.02,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Dr. Pepper,118,344.71,2,1,May_Data_Matrix (1).xlsx,data 3
May,item,Cream Cheese Wonton（6）,60,352.83,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Specialty Drink,115,338.5,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Diet Pepsi,97,284.98,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Spicy Cucumber Salad,46,249.14,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pepsi,83,238.52,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Cream Cheese Rangoon(6),47,263.68,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pork Fried Rice,17,213.55,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Sweet Ice Tea,79,228.04,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Unsweet Ice Tea,69,197.17,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Crispy French Fries,47,184.56,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,BF chicken cutlet combo,20,242.53,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Wasabi Spiced Fried Chicken (8),16,158.84,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Tangy Honey Mustard Fried Chicken (8),19,186.57,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Vegetable Fried Rice,14,177.0,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Milk Tea(20oz),31,153.81,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Vegetable Tossed Ramen,11,153.95,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Wasabi Spiced Fried Chicken(8),12,138.88,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Tangy Honey Mustard Fried Chicken(8),11,129.49,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chili Pepper Fried Chicken（8）,13,129.11,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Starry - Sprite,45,132.29,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Braised Chicken Thigh,36,106.77,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Vegetable Tossed Rice Noodle,9,114.96,3,1,May_Data_Matrix (1).xlsx,data 3
May,item,Brown Sugar Rice Cake,22,117.14,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Lemonade,35,100.73,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Jumbo Chicken Tender (3),19,90.93,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,House Tossed Rice Noodle,4,63.16,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chili Pepper Fried Chicken (8),6,62.94,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Brown Sugar Milk Tea NO BOBA (24oz),17,66.2,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,White Rice - DINE IN,52,52.44,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Bottled Soda,21,42.19,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Hot Tea,13,38.39,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Crispy French Fries(LG),8,33.92,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,BF chicken cutlet,10,65.93,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Plain Fried Rice,15,45.49,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Orange Crush,10,29.74,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Rice Noodle,17,25.8,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,White Rice-To Go,6,21.0,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Sweet Sesame Ball,5,25.02,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,White Rice,5,20.16,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,House Tossed Ramen,2,31.44,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Ramune - Original,4,13.76,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Chunked Beef,4,15.96,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Braised Chicken,5,16.9,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,soup to go,7,10.47,4,1,May_Data_Matrix (1).xlsx,data 3
May,item,Ramen,6,9.0,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai‘s Special Sauce,11,10.72,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,北冰洋 Orange Soda,2,7.18,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Pepsi Zero,2,7.18,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Sweet Tea,2,7.18,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Braised Pork,3,9.22,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Shrimp,2,5.98,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Bottled Water,3,5.97,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Open Food,2,4.52,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Braised Egg,2,4.3,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Mai‘s special Sauce,4,4.26,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Ramune - Orange,1,3.59,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Starry,1,3.59,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Ramune - Melon,1,2.99,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Ramune - Strawberry,2,6.28,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Water,2122,0.0,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Sweet Sesame Ball (6) w. red bean,1,4.5,5,1,May_Data_Matrix (1).xlsx,data 3
May,item,Golden kiwi,5,18.38,5,1,May_Data_Matrix (1).xlsx,data 3
June,item,Beef Tossed Ramen,286,4248.69,1,1,June_Data_Matrix.xlsx,data 3
June,item,Lunch Special,222,3089.08,1,1,June_Data_Matrix.xlsx,data 3
June,item,Beef Ramen,195,2907.79,1,1,June_Data_Matrix.xlsx,data 3
June,item,Chicken Rice Noodle Soup,153,2196.39,1,1,June_Data_Matrix.xlsx,data 3
June,item,Beef Tossed Rice Noodle,113,1771.24,1,1,June_Data_Matrix.xlsx,data 3
June,item,BF chicken cutlet combo,142,1722.24,1,1,June_Data_Matrix.xlsx,data 3
June,item,Pork Tossed Ramen,134,1769.95,1,1,June_Data_Matrix.xlsx,data 3
June,item,Chicken Ramen,117,1724.75,1,1,June_Data_Matrix.xlsx,data 3
June,item,Beef Rice Noodle Soup,81,1241.45,1,1,June_Data_Matrix.xlsx,data 3
