ingredient,trend_slope,avg_monthly_change,last_value,forecast_next_month,volatility
rice_g,16139.999999999998,13090.0,109200.0,122290.0,0.5586781689869059
rice_noodles_g,-4208.571428571446,-10680.0,117600.0,106920.0,0.19805291492261584
braised_beef_g,-3604.0000000000127,-7572.0,98500.0,90928.0,0.18280931928805066
braised_chicken_g,-1229.1428571428696,-5360.0,89420.0,84060.0,0.20357958744557048
braised_pork_g,3268.5714285714257,-212.0,65460.0,65248.0,0.2775811431614147
bokchoy_g,-1412.857142857151,-3530.0,46000.0,42470.0,0.19702163086567043
green_onion,39.99999999999507,-1664.0,37980.0,36316.0,0.19815007127514508
cilantro,-882.2857142857187,-2412.0,31740.0,29328.0,0.20160412749925669
pickle_cabbage,-4417.1428571428605,-5660.0,24000.0,18340.0,0.32552404004458246
white_onion,922.2857142857141,748.0,6240.0,6988.0,0.5586781689869059
carrot_g,461.14285714285705,374.0,3120.0,3494.0,0.5586781689869059
peas_g,461.14285714285705,374.0,3120.0,3494.0,0.5586781689869059
ramen_count,-30.08571428571445,-85.0,1195.0,1110.0,0.20569733734640916
egg_count,24.057142857142733,-22.9,1105.5,1082.6,0.20699270726476904
